"","gene_sym","betweeness_value"
"9606.ENSP00000253024","TRIM28",0.00419981107392126
"9606.ENSP00000376077","SUMO1",0.0025319017117698
"9606.ENSP00000263253","EP300",0.00245861680379
"9606.ENSP00000262367","CREBBP",0.00153128736711268
"9606.ENSP00000272369","MEIS1",0.00116144917808357
"9606.ENSP00000360266","JUN",0.000880787321679405
"9606.ENSP00000300651","MED1",0.000806475885309757
"9606.ENSP00000259915","POU5F1",0.000805591928203357
"9606.ENSP00000300305","RUNX1",0.000736849730496105
"9606.ENSP00000344456","CTNNB1",0.000736804085125343
"9606.ENSP00000405330","ESR1",0.000690689888196792
"9606.ENSP00000404100","PAX6",0.000674874961952069
"9606.ENSP00000411152","ITPKB",0.000619471426220743
"9606.ENSP00000405890","PBX1",0.000618143678030362
"9606.ENSP00000269305","TP53",0.000598223767165076
"9606.ENSP00000388940","TCF12",0.000588899378729891
"9606.ENSP00000415151","CBFB",0.000578410012882679
"9606.ENSP00000272317","RPS27A",0.000568887737350787
"9606.ENSP00000278616","ATM",0.00055900782500876
"9606.ENSP00000329357","SP1",0.000540341166733715
"9606.ENSP00000264657","STAT3",0.000534808525125167
"9606.ENSP00000381382","TCF4",0.000521527049432306
"9606.ENSP00000362649","HDAC1",0.000511851093149386
"9606.ENSP00000368632","GATA3",0.000479441185479046
"9606.ENSP00000257749","BACH2",0.000474825945923626
"9606.ENSP00000262160","SMAD2",0.000446462207979861
"9606.ENSP00000479618","MYC",0.000435155232069031
"9606.ENSP00000388107","UBA52",0.000433246578581597
"9606.ENSP00000375942","TBP",0.000432909500208925
"9606.ENSP00000212015","SIRT1",0.0004319142814737
"9606.ENSP00000262965","TCF3",0.000424619368423992
"9606.ENSP00000344903","MAFK",0.000422417182340004
"9606.ENSP00000382800","RUNX3",0.000404557603120279
"9606.ENSP00000341551","SMAD4",0.000384399476032797
"9606.ENSP00000419692","RXRA",0.000375835851562845
"9606.ENSP00000332973","SMAD3",0.000374484874903561
"9606.ENSP00000367203","KDM6A",0.000373540941721802
"9606.ENSP00000264867","PPARGC1A",0.000368797202183479
"9606.ENSP00000351490","MAX",0.000354167493358987
"9606.ENSP00000242480","EGR2",0.000346771574077856
"9606.ENSP00000395654","SMARCA4",0.00034471731912024
"9606.ENSP00000282111","TCF7L1",0.00034316901630469
"9606.ENSP00000358404","TCF7L2",0.000342885417604953
"9606.ENSP00000274764","HIST1H2BA",0.000339461099478352
"9606.ENSP00000365858","GATA1",0.000339275126541213
"9606.ENSP00000250448","FOXA1",0.000329279367358685
"9606.ENSP00000268712","NCOR1",0.000326123542456644
"9606.ENSP00000360493","RUNX2",0.000325134157984031
"9606.ENSP00000361066","NCOA3",0.000321618614989439
"9606.ENSP00000387699","CREB1",0.000320496468714179
"9606.ENSP00000306245","FOS",0.000313496032300884
"9606.ENSP00000351446","WDR5",0.00031089256842413
"9606.ENSP00000295025","REL",0.000302780390868387
"9606.ENSP00000350369","MAFG",0.000301247434754403
"9606.ENSP00000385216","NCOA1",0.000300719325194359
"9606.ENSP00000356641","RFWD2",0.000294594940427687
"9606.ENSP00000377265","TFAP2B",0.000292589892114964
"9606.ENSP00000296946","T",0.000290364286132078
"9606.ENSP00000262238","YY1",0.000289319115501887
"9606.ENSP00000368880","FOXO1",0.00028815481513439
"9606.ENSP00000334458","GATA4",0.000285339502453749
"9606.ENSP00000392466","LDB1",0.000285286573352079
"9606.ENSP00000268717","COPS3",0.000282437294680274
"9606.ENSP00000441543","UBC",0.000273186991445876
"9606.ENSP00000304697","UBB",0.000270912804549015
"9606.ENSP00000264674","MECOM",0.00026247427138681
"9606.ENSP00000385824","FOXO3",0.000259827795557436
"9606.ENSP00000363822","AR",0.000259117429722788
"9606.ENSP00000439120","NFE2",0.000256030204835061
"9606.ENSP00000436786","KMT2A",0.000254479888599913
"9606.ENSP00000350844","PAX5",0.000254365900283682
"9606.ENSP00000345206","RBPJ",0.000253839319188484
"9606.ENSP00000324124","POLR2L",0.000245333489592706
"9606.ENSP00000396620","NFYC",0.000241924208051374
"9606.ENSP00000266970","CDK2",0.000241124346449102
"9606.ENSP00000343819","OTX2",0.000240834205332404
"9606.ENSP00000229307","NANOG",0.000237137032224107
"9606.ENSP00000271555","MEF2D",0.000233586128701369
"9606.ENSP00000340874","MEF2C",0.000228166764925508
"9606.ENSP00000333275","NR2C1",0.000228061186167275
"9606.ENSP00000222122","DBP",0.000226675412299617
"9606.ENSP00000381298","LONRF1",0.00022588519290535
"9606.ENSP00000363804","KLF4",0.00022576528534132
"9606.ENSP00000453793","MEIS2",0.000224914170533632
"9606.ENSP00000294339","TAL1",0.000223988702394225
"9606.ENSP00000219252","POLR2C",0.000223602315829384
"9606.ENSP00000265165","LEF1",0.000221418211563409
"9606.ENSP00000364519","TFDP1",0.000212882173265468
"9606.ENSP00000346389","MEF2A",0.000212029793801117
"9606.ENSP00000357000","USF1",0.000210742641869392
"9606.ENSP00000430432","HDAC2",0.000209761912796306
"9606.ENSP00000266269","PATZ1",0.000208652304232994
