TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0002376", "immune system process", 13.2568262762169, -2.96636960451301, 4.53598058530879, 3.37032800777951, -3.57167243835348, 1, 0, null, False
"GO:0006367", "transcription initiation from RNA polymerase II promoter", 0.30527446435638, 0.602364068130089, 2.44192449829225, 1.74036268949424, -8.49502324468206, 0.970021028072747, 0, null, False
"GO:0006366", "transcription by RNA polymerase II", 1.35677539713947, null, null, 2.38201704257487, -5.13347004613346, 0.968098216047838, 0.74256746, 6367, True
"GO:0035019", "somatic stem cell population maintenance", 0.186556617106676, -5.27721792766056, -6.36124050457625, 1.53147891704226, -7.01922870318858, 0.918178646451566, 0, null, False
"GO:1902895", "positive regulation of pri-miRNA transcription by RNA polymerase II", 0.237435694499406, 0.929684579847189, -7.21659070038091, 1.63346845557959, -16.6474639091573, 0.855313623417661, 0, null, False
"GO:1902894", "negative regulation of pri-miRNA transcription by RNA polymerase II", 0.0961049239640455, null, null, 1.25527250510331, -4.25696207202512, 0.868959343115352, 0.88609493, 1902895, True
"GO:1904837", "beta-catenin-TCF complex assembly", 0.00565323082141444, 4.84363940536755, 3.05678612155932, 0.301029995663981, -2.06238132648129, 0.993260503238653, 0.00307615, null, False
"GO:0055088", "lipid homeostasis", 0.85363785403358, 1.69841324398836, -0.327898871403568, 2.18184358794477, -2.85155207285958, 0.949567601104713, 0.02106162, null, False
"GO:0042593", "glucose homeostasis", 1.06280739442591, null, null, 2.27646180417324, -2.6569325510219, 0.948690408745929, 0.5595157, 55088, True
"GO:0019221", "cytokine-mediated signaling pathway", 2.00124371078071, -0.657059596612883, 6.00814373033853, 2.55022835305509, -6.88281540837754, 0.796460021053006, 0.03524933, null, False
"GO:0060070", "canonical Wnt signaling pathway", 0.440952004070326, null, null, 1.89762709129044, -2.5501445620873, 0.870325702465645, 0.41057974, 19221, True
"GO:0043434", "response to peptide hormone", 2.04081632653061, null, null, 2.55870857053317, -4.01754469751534, 0.854545690878913, 0.41301388, 19221, True
"GO:0007219", "Notch signaling pathway", 0.587936005427102, null, null, 2.02118929906994, -2.17166367048354, 0.867027108632881, 0.42363459, 19221, True
"GO:0034097", "response to cytokine", 4.52823788795297, null, null, 2.90417436828416, -2.32228214645941, 0.874947043366985, 0.46128478, 19221, True
