TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0002376", "immune system process", 13.2568262762169, -5.09715326521019, -3.40879145948751, 3.37032800777951, -5.46549953208647, 1, 0, null, False
"GO:0030522", "intracellular receptor signaling pathway", 0.785799084176607, -2.14333059219021, -5.32705597555739, 2.14612803567824, -16.4687386017782, 0.919368208991562, 0, null, False
"GO:0035019", "somatic stem cell population maintenance", 0.186556617106676, 6.89001682303082, 3.99995310153381, 1.53147891704226, -4.98512056222636, 0.87007005600238, 0, null, False
"GO:0006367", "transcription initiation from RNA polymerase II promoter", 0.30527446435638, -0.953063222707795, 3.41148974813124, 1.74036268949424, -14.8119653894436, 0.974975312286362, 0.00450305, null, False
"GO:0006366", "transcription by RNA polymerase II", 1.35677539713947, null, null, 2.38201704257487, -4.69416980327586, 0.973657698633175, 0.74256746, 6367, True
"GO:0042593", "glucose homeostasis", 1.06280739442591, -5.61194209220951, -1.77272772610099, 2.27646180417324, -3.96720457060872, 0.940967653131462, 0.02423744, null, False
"GO:0055088", "lipid homeostasis", 0.85363785403358, null, null, 2.18184358794477, -3.01011864526655, 0.949778181665289, 0.5595157, 42593, True
"GO:0001678", "cellular glucose homeostasis", 0.537056928034372, null, null, 1.98227123303957, -2.58315365503347, 0.941750285967192, 0.91913185, 42593, True
"GO:0042752", "regulation of circadian rhythm", 0.684040929391147, -4.13155091617444, -0.896011446892908, 2.08635983067475, -2.12562105484694, 0.974792011366726, 0.03037106, null, False
"GO:1902895", "positive regulation of pri-miRNA transcription by RNA polymerase II", 0.237435694499406, -0.171029902628718, 6.58945434970562, 1.63346845557959, -14.8119653894436, 0.883099026596651, 0.03222324, null, False
"GO:1902894", "negative regulation of pri-miRNA transcription by RNA polymerase II", 0.0961049239640455, null, null, 1.25527250510331, -4.52780762562094, 0.893493760475891, 0.88609493, 1902895, True
"GO:0008285", "negative regulation of cell population proliferation", 3.92334219006162, -5.23836320632627, 2.02895913520941, 2.84198480459011, -7.25286669587794, 0.943096992695575, 0.0434027, null, False
"GO:0030111", "regulation of Wnt signaling pathway", 1.79207417038838, -4.4474089952105, 3.8118550988246, 2.50242711998443, -3.15584653019056, 0.962906348356124, 0.04833139, null, False
"GO:0042127", "regulation of cell population proliferation", 9.24868562383402, -5.76489349016411, 0.149638413929863, 3.21404867941194, -8.97866167866113, 0.960071423653212, 0.06244746, null, False
"GO:0051726", "regulation of cell cycle", 5.60800497484312, -2.92778010518189, 1.28422440826965, 2.99694924849538, -3.60213862271826, 0.962835453102198, 0.06668746, null, False
"GO:0001503", "ossification", 1.49810616767483, 5.66009593017126, 5.51123934448946, 2.42488163663107, -2.80355472439172, 0.902001618927358, 0.12000157, null, False
"GO:0031016", "pancreas development", 0.390072926677596, 7.26382351667831, 1.40507076194655, 1.84509804001426, -4.52780762562094, 0.79825544209858, 0.13514583, null, False
"GO:0045666", "positive regulation of neuron differentiation", 0.514444004748714, -2.23836045677189, 6.29361261622942, 1.96378782734556, -4.7342713809312, 0.902721254194592, 0.14136655, null, False
"GO:0045648", "positive regulation of erythrocyte differentiation", 0.180903386285262, null, null, 1.51851393987789, -2.12255494708199, 0.91874653676292, 0.50520414, 45666, True
"GO:0010718", "positive regulation of epithelial to mesenchymal transition", 0.277008310249307, null, null, 1.69897000433602, -2.72964786092258, 0.915711581815176, 0.52449485, 45666, True
"GO:0045597", "positive regulation of cell differentiation", 4.64695573520267, null, null, 2.91539983521227, -3.19858369734302, 0.892456019037011, 0.5908392, 45666, True
"GO:0045595", "regulation of cell differentiation", 8.37243484651478, null, null, 3.17084820364331, -7.35555875577506, 0.917712042152964, 0.63190082, 45666, True
"GO:0045665", "negative regulation of neuron differentiation", 0.390072926677596, null, null, 1.84509804001426, -3.26819018228886, 0.906993743062765, 0.82828219, 45666, True
"GO:0043525", "positive regulation of neuron apoptotic process", 0.310927695177794, -2.81172490401997, 5.43181883207215, 1.7481880270062, -2.05363282491742, 0.952741108833044, 0.14481858, null, False
"GO:0033173", "calcineurin-NFAT signaling cascade", 0.0678387698569733, -3.27910335839059, -5.08677073319543, 1.11394335230684, -2.08405729662217, 0.934889734607686, 0.16038306, null, False
"GO:0048384", "retinoic acid receptor signaling pathway", 0.0961049239640455, -2.60622906428533, -3.6928254603406, 1.25527250510331, -4.0980540207104, 0.933055344575301, 0.1651197, null, False
"GO:0032922", "circadian regulation of gene expression", 0.384419695856182, 2.22959017770691, 5.42592979701791, 1.83884909073726, -3.21426328806514, 0.849842769420468, 0.16571719, null, False
"GO:0060337", "type I interferon signaling pathway", 0.107411385606874, 0.680767249569446, -6.18128596448462, 1.30102999566398, -4.9353548933109, 0.827146569844522, 0.16669176, null, False
"GO:0060333", "interferon-gamma-mediated signaling pathway", 0.0621855390355588, null, null, 1.07918124604762, -2.72561283530731, 0.834057060252606, 0.53915295, 60337, True
"GO:0070102", "interleukin-6-mediated signaling pathway", 0.0791452314998021, null, null, 1.17609125905568, -2.13126370832406, 0.875782118775506, 0.54845501, 60337, True
"GO:0019221", "cytokine-mediated signaling pathway", 2.00124371078071, null, null, 2.55022835305509, -4.41664330429588, 0.841631870972937, 0.57807685, 60337, True
"GO:0023019", "signal transduction involved in regulation of gene expression", 0.118717847249703, -1.44904938881294, -0.69102262057771, 1.34242268082221, -2.58315365503347, 0.894925077959853, 0.16813214, null, False
"GO:0048589", "developmental growth", 1.97863078749505, 4.45004598628661, -1.49436199372451, 2.54530711646582, -3.15584653019056, 0.843931881027181, 0.16884788, null, False
"GO:0048665", "neuron fate specification", 0.158290462999604, 6.23078849957813, -2.18503349232905, 1.46239799789896, -4.16773699298623, 0.795660472128188, 0.18564717, null, False
"GO:0048666", "neuron development", 4.49431850302448, null, null, 2.90091306773767, -2.80355472439172, 0.721069777801365, 0.57062888, 48665, True
"GO:0048663", "neuron fate commitment", 0.350500310927695, null, null, 1.79934054945358, -2.90068316043593, 0.781709653952496, 0.70316253, 48665, True
"GO:0030182", "neuron differentiation", 5.57973882073605, null, null, 2.99475694458763, -3.79802334816282, 0.719914191855599, 0.83333341, 48665, True
"GO:0000083", "regulation of transcription involved in G1/S transition of mitotic cell cycle", 0.113064616428289, 1.18256685850363, 7.22156629911722, 1.32221929473392, -2.12255494708199, 0.922902937741185, 0.20795716, null, False
"GO:0001701", "in utero embryonic development", 2.05777601899486, 5.24003834983821, 1.28761744346805, 2.56229286445647, -3.55492004511364, 0.774005644695374, 0.21791053, null, False
"GO:0035115", "embryonic forelimb morphogenesis", 0.175250155463848, null, null, 1.50514997831991, -2.98565292822485, 0.807728302728808, 0.53559661, 1701, True
"GO:0048701", "embryonic cranial skeleton morphogenesis", 0.260048617785064, null, null, 1.67209785793572, -2.8960006462401, 0.756862328162764, 0.6632661, 1701, True
"GO:0048568", "embryonic organ development", 2.43654248402962, null, null, 2.63548374681491, -2.05424543990245, 0.734499814290351, 0.72113623, 1701, True
"GO:0048469", "cell maturation", 0.85363785403358, 7.40807430202228, -2.05693563230617, 2.18184358794477, -3.78407755709627, 0.806896890814005, 0.23935588, null, False
"GO:0009952", "anterior/posterior pattern specification", 1.11368647181864, 5.78330875178268, 2.07228235168021, 2.29666519026153, -2.98883911007245, 0.797036377448549, 0.24518749, null, False
"GO:0003139", "secondary heart field specification", 0.0621855390355588, null, null, 1.07918124604762, -2.08405729662217, 0.777485418393435, 0.66830986, 9952, True
"GO:0031018", "endocrine pancreas development", 0.209169540392334, 7.91054180143276, 0.776115493457221, 1.57978359661681, -3.30554873700542, 0.78771258001802, 0.24882869, null, False
"GO:0030325", "adrenal gland development", 0.130024308892532, null, null, 1.38021124171161, -2.58315365503347, 0.795415442600356, 0.77668339, 31018, True
"GO:0021983", "pituitary gland development", 0.243088925320821, null, null, 1.64345267648619, -2.98565292822485, 0.77246951498051, 0.81655248, 31018, True
"GO:0060216", "definitive hemopoiesis", 0.0961049239640455, 4.84516335285652, -2.98343322897211, 1.25527250510331, -3.90315824635596, 0.777530577025773, 0.25432604, null, False
"GO:0060218", "hematopoietic stem cell differentiation", 0.090451693142631, null, null, 1.23044892137827, -2.08405729662217, 0.764803095144854, 0.47723699, 60216, True
"GO:0043011", "myeloid dendritic cell differentiation", 0.113064616428289, null, null, 1.32221929473392, -3.30554873700542, 0.753179176417941, 0.48499179, 60216, True
"GO:0030183", "B cell differentiation", 0.65012154446266, null, null, 2.06445798922692, -2.48506235091608, 0.71818692876872, 0.68721574, 60216, True
"GO:0030218", "erythrocyte differentiation", 0.486177850641642, null, null, 1.93951925261862, -2.10294128449054, 0.69121156760255, 0.71389032, 60216, True
"GO:0030217", "T cell differentiation", 0.814065238283679, null, null, 2.16136800223497, -2.3074552760448, 0.712552119479072, 0.85545177, 60216, True
"GO:0035914", "skeletal muscle cell differentiation", 0.271355079427893, 7.50355379967924, -0.792658952687489, 1.69019608002851, -3.96268003380783, 0.766439200783187, 0.25448209, null, False
"GO:0051145", "smooth muscle cell differentiation", 0.20351630957092, null, null, 1.56820172406699, -2.08405729662217, 0.817881729374762, 0.58340864, 35914, True
"GO:0007517", "muscle organ development", 1.58855786081746, null, null, 2.45024910831936, -2.80355472439172, 0.752399250365774, 0.70267126, 35914, True
"GO:0051091", "positive regulation of DNA-binding transcription factor activity", 1.46418678274634, 0.758544396488055, 6.58156375071045, 2.41497334797082, -4.38064870150191, 0.901514268123012, 0.25983244, null, False
