TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0001228", "DNA-binding transcription activator activity, RNA polymerase II-specific", 2.46797703180212, 1.79927637163804, -7.44362399492019, 2.65127801399814, -147.644297382766, 0.840635427225199, 0, null, False
"GO:0004879", "nuclear receptor activity", 0.287102473498233, null, null, 1.72427586960079, -27.3028176333209, 0.855636473465609, 0.49664097, 1228, True
"GO:0001227", "DNA-binding transcription repressor activity, RNA polymerase II-specific", 1.70605123674912, null, null, 2.49136169383427, -55.9673503171202, 0.846774604556417, 0.6105082, 1228, True
"GO:0001216", "DNA-binding transcription activator activity", 2.50110424028269, null, null, 2.6570558528571, -6.09167527140826, 0.841301668083264, 0.63136752, 1228, True
"GO:0000981", "DNA-binding transcription factor activity, RNA polymerase II-specific", 7.65790636042403, null, null, 3.14238946611884, -270.992183282064, 0.820941759096553, 0.74561129, 1228, True
"GO:0003700", "DNA-binding transcription factor activity", 7.93396643109541, null, null, 3.15775888604686, -154.074281233688, 0.838902404456616, 0.78534639, 1228, True
"GO:0008134", "transcription factor binding", 3.125, -2.12293405570664, 6.2445318058153, 2.75358305889291, -24.1112312065808, 0.985794781758915, 0, null, False
"GO:0070888", "E-box binding", 0.265017667844523, -6.1341238107438, -2.23699016818535, 1.69019608002851, -15.6958329761044, 0.770406633803012, 0.00239943, null, False
"GO:0000978", "RNA polymerase II cis-regulatory region sequence-specific DNA binding", 6.65304770318021, null, null, 3.08134730780413, -283.304184663515, 0.671503893866414, 0.58113747, 70888, True
"GO:0043565", "sequence-specific DNA binding", 9.29770318021201, null, null, 3.22659990520736, -63.6785939740703, 0.715105509151172, 0.67308873, 70888, True
"GO:1990837", "sequence-specific double-stranded DNA binding", 8.7345406360424, null, null, 3.19948091486236, -147.380252737995, 0.673193267862246, 0.83939271, 70888, True
"GO:0000987", "cis-regulatory region sequence-specific DNA binding", 6.76347173144876, null, null, 3.0884904701824, -17.3169536820886, 0.676095906036327, 0.84208537, 70888, True
"GO:0000976", "transcription cis-regulatory region binding", 8.42535335689046, null, null, 3.18383903705642, -55.6968093024555, 0.666600679378049, 0.87975251, 70888, True
"GO:0000977", "RNA polymerase II transcription regulatory region sequence-specific DNA binding", 7.90083922261484, null, null, 3.15594301797184, -43.1856758974841, 0.669357002110661, 0.90341521, 70888, True
"GO:0003682", "chromatin binding", 3.15812720848057, 4.34617915440385, -5.23858779459646, 2.75815462196739, -17.8097714444441, 0.995174550196912, 0.00325851, null, False
"GO:0008270", "zinc ion binding", 4.5881183745583, 1.89239502683376, -0.0179241153602812, 2.92012332629072, -8.65297116963207, 0.970213978681433, 0.00344995, null, False
